Line #,Name,Description,Designator,Revision ID,Revision Status,Quantity,Revision State,Manufacturer 1,Manufacturer Part Number 1,Manufacturer Lifecycle 1,Supplier 1,Supplier Part Number 1,Supplier Unit Price 1,Supplier Subtotal 1
"","ERJ-3EKF10R0V","10R 0603 1% 1/10W","R506A, R506B, R506C, R506D, R506E, R520A, R520B, R520C, R520D, R520E","","","10","Unknown server","Panasonic","ERJ-3EKF10R0V","Volume Production","DigiKey","P10.0HCT-ND","0.034","0.34"
"","ERA-2AEB511X","510R 0402 0.1% 1/16W","R510A, R510B, R510C, R510D, R510E, R523A, R523B, R523C, R523D, R523E","","","10","Unknown server","Panasonic","ERA-2AEB511X","Volume Production","DigiKey","P510DCCT-ND","0.082","0.82"
"","PE1206FRF470R6L","600m 1206 1% 1W","R512A, R512B, R512C, R512D, R512E, R524A, R524B, R524C, R524D, R524E","","","10","Unknown server","Yageo Group","PE1206FRF470R6L","Volume Production","DigiKey","13-PE1206FRF470R6LCT-ND","0.284","2.84"
"","ERA-6VEB1201V","1.2k 0805 0.1% 1/4W","R513A, R513B, R513C, R513D, R513E, R527A, R527B, R527C, R527D, R527E","","","10","Unknown server","Panasonic","ERA-6VEB1201V","Volume Production","DigiKey","10-ERA-6VEB1201VCT-ND","0.307","3.07"
"","RC0603FR-07143KL","143k 0603 1% 1/10W","R525A, R525B, R525C, R525D, R525E","","","5","Unknown server","Yageo Group","RC0603FR-07143KL","Volume Production","DigiKey","311-143KHRCT-ND","0.009","0.09"
"","ERA-3AEB5232V","52.3k 0603 0.1% 1/10W","R528A, R528B, R528C, R528D, R528E","","","5","Unknown server","Panasonic","ERJ-3EKF5232V","Volume Production","DigiKey","P52.3KHCT-ND","0.034","0.34"
"","RT0603DRE07176KL","176k 0603 0.5% 0.1W","R601A, R601B","","","2","Unknown server","Yageo Group","RT0603DRE07176KL","Volume Production","DigiKey","311-2094-1-ND","0.017","0.17"
"","RT0603BRD0766K5L","66.5K 0603 0.1% 1/10W","R602A, R602B","","","2","Unknown server","Yageo Group","RT0603BRD0766K5L","Volume Production","Mouser","603-RT0603BRD0766K5L","0.16","0.32"
"","RT0402BRD07100RL","100R 0402 0.1% 1/16W","R705, R707","","","2","Unknown server","","","","","","",""
"","CRCW12060000Z0EAC","0R 1206 1/4W","R801, R802, R803, R804, R806, R807, R809, R810, R811","","","9","Unknown server","Vishay","CRCW12060000Z0EAC","Volume Production","DigiKey","541-4170-1-ND","0.043","0.43"
"","RK73H1ETTP2802F","28k 0402 100mW 1%","R808, R813, R1104A, R1104B, R1303, R1308","","","6","Unknown server","KOA Speer","RK73H1ETTP2802F","Volume Production","DigiKey","2019-RK73H1ETTP2802FCT-ND","0.027","0.27"
"","ERJ-2RKF3650X","365 0402 100mW 1%","R1103A, R1103B, R1306, R1310","","","4","Unknown server","Panasonic","ERJ-2RKF3650X","Volume Production","DigiKey","P365LCT-ND","0.028","0.28"
"","CRCW06031R00FKEAHP","1R 0603 1% 1/3W","R1105A, R1105B","","","2","Unknown server","Vishay","CRCW06031R00FKEAHP","Volume Production","DigiKey","541-1.00SCT-ND","0.2","0.4"
"","CRCW0402715RFKED","715R 0402 100mW 1%","R1107A, R1107B","","","2","Unknown server","Vishay","CRCW0402715RFKED","Volume Production","DigiKey","541-715LCT-ND","0.1","0.2"
"","RC0402FR-07348KL","348k 0402 1% 1/16W","R1110A, R1110B, R1112A, R1112B","","","4","Unknown server","Yageo Group","RC0402FR-07348KL","Volume Production","DigiKey","YAG3123CT-ND","0.005","0.05"
"","RC0402FR-0737K4L","VALUE PKG TOLER. POWER","R1111A, R1111B, R1305, R1309","","","4","Unknown server","Yageo Group","RC0402FR-0737K4L","Volume Production","DigiKey","YAG3138CT-ND","0.004","0.04"
"","STM32H573RIT6","ARM® Cortex®-M33 STM32H5 Microcontroller IC 32-Bit 250MHz 2MB (2M x 8) FLASH 64-LQFP (10x10)","U301A, U301B, U301C","","","3","Unknown server","STMicroelectronics","STM32H573RIT6","Volume Production","DigiKey","497-STM32H573RIT6-ND","7.81","23.43"
"","MS561101BA03-50","0.145Psi Min, 17.404Psi Max, 0-3V, Rectangular, Surface Mount","U401A, U401B, U401C","","","3","Unknown server","TE Connectivity","MS561101BA03-50","Volume Production","DigiKey","223-1622-1-ND","10.12","30.36"
"","LIS2MDLTR","Magnetoresistive Sensor X, Y, Z Axis 12-LGA (2x2)","U402A, U402B, U402C","","","3","Unknown server","STMicroelectronics","LIS2MDLTR","Volume Production","DigiKey","497-17588-1-ND","1.95","5.85"
"","ASM330LHBG1","ASM330LHBG1","U403A, U403B, U403C","","","3","Unknown server","STMicroelectronics","ASM330LHBG1TR","Volume Production","DigiKey","497-ASM330LHBG1TRCT-ND","10.74","32.22"
"","TI_TLV9351IDCKR","40-V, single 3.5-MHz, RRO, MUX-friendly operational amplifier 5-SC70 -40 to 125","U501A, U501B, U501C, U501D, U501E, U503A, U503B, U503C, U503D, U503E","","","10","Unknown server","Texas Instruments","TLV9351IDCKR","Volume Production","DigiKey","296-TLV9351IDCKRCT-ND","0.414","4.14"
"","TI_TPS272C45D","TPS272C45 45-mO, Dual-Channel Smart High-Side Switch With Diagnostics","U502A, U502B, U502C, U502D, U502E","","","5","Unknown server","Texas Instruments","TPS272C45CRHFR","Volume Production","DigiKey","296-TPS272C45CRHFRCT-ND","5.77","28.85"
"","AD_LT3065EMSE","Linear Voltage Regulator IC Positive Adjustable 1 Output 500mA 12-MSOP-EP","U504A, U504B, U504C, U504D, U504E","","","5","Unknown server","Analog Devices","LT3065EMSE#TRPBF","Volume Production","DigiKey","505-LT3065EMSE#TRPBFCT-ND","6.18","30.9"
"","MAXIM_MAX17503","MAXIM_MAX17503, 4.5V-60V, 2.5A","U601A, U601B","","","2","Unknown server","Maxim","MAX17503ATP+","Volume Production","Digikey","MAX17503ATP+-ND","6.59","13.18"
"","FAN65008B","Synchronous PWM Buck Regulator, High Performance, Voltage Mode, 65 V, 10 A","U1101A, U1101B","","","2","Unknown server","onsemi","FAN65008B","Volume Production","DigiKey","FAN65008BOSCT-ND","5.29","10.58"
"","RT1987N-A","32V/8A Ideal Diode Protection Sw","U1201, U1202","","","2","Unknown server","Richtek","RT1987N-A","Volume Production","DigiKey","1028-RT1987N-ACT-ND","1.75","3.5"
"","LM73100RPWR","2.7 - 23 V, 5.5 A Integrated Ideal Diode with Input Reverse Polarity and Overvoltage Protection","U1301, U1302","","","2","Unknown server","Texas Instruments","LM73100RPWR","Volume Production","DigiKey","296-LM73100RPWRCT-ND","1.23","2.46"
